sample,ZP3_log2_TPM
GTEX-13OW7-0011-R4b-SM-5O9CX,0.5955
GTEX-13OVH-0011-R6b-SM-5LUAX,2.3019
GTEX-13NYS-0011-R9b-SM-5MR44,1.5366
GTEX-RU72-0011-R10A-SM-2TF6D,-1.3548
GTEX-13OVJ-2826-SM-5L3GW,0.9642
GTEX-11GSO-3026-SM-5Q5AL,0.3796
GTEX-WHSE-0011-R1A-SM-3P5ZK,0.8327
GTEX-T6MN-0011-R4A-SM-5CHSD,-9.9658
GTEX-ZUA1-3026-SM-59HJC,0.9268
GTEX-11GSP-0011-R8b-SM-5NQ79,-0.2498
GTEX-YJ89-0011-R2b-SM-4RGLT,-0.1345
GTEX-Q2AG-0011-R10A-SM-2HMLA,0.5859
GTEX-WL46-0011-R5A-SM-3LK6V,1.2147
GTEX-145MG-0011-R7b-SM-5P9JY,1.3283
GTEX-X4EP-0011-R9B-SM-4QASI,3.492
GTEX-13112-2926-SM-5DUWT,1.5709
GTEX-TSE9-0011-R7A-SM-5CHS2,-9.9658
GTEX-11WQC-0011-R7b-SM-5BC7A,-0.0877
GTEX-12ZZZ-0011-R7b-SM-5EGLE,1.2992
GTEX-13RTL-0011-R3a-SM-5P9JP,-1.0862
GTEX-13FHO-0011-R11b-SM-5LZYQ,0.2522
GTEX-Q2AG-0011-R5A-SM-2HMJH,2.3423
GTEX-13OVH-0011-R8b-SM-5MR35,2.233
GTEX-147GR-0011-R6b-SM-5S2RO,3.0002
GTEX-132Q8-0011-R5a-SM-5IJDM,2.6043
GTEX-WZTO-0011-R5B-SM-3NMC5,2.8502
GTEX-11ONC-0011-R1a-SM-57WD4,-1.2481
GTEX-14BIN-0011-R10a-SM-5S2UA,-0.2845
GTEX-T2IS-0011-R6A-SM-32QP2,3.5035
GTEX-144GL-0011-R8a-SM-5Q5B1,-0.5543
GTEX-13QIC-3026-SM-5LU58,2.296
GTEX-1313W-0011-R10b-SM-5DUXA,0.03
GTEX-YFC4-0011-R9a-SM-4SOK4,0.688
GTEX-13O3Q-2926-SM-5KM45,-0.9686
GTEX-12126-0011-R9b-SM-5BC6P,1.5013
GTEX-ZXG5-0011-R5b-SM-57WBN,1.0779
GTEX-13OW7-0011-R1b-SM-5L3HF,0.9343
GTEX-13112-0011-R5b-SM-5DUV8,0.605
GTEX-T6MN-0011-R6A-SM-32QP8,2.7139
GTEX-12584-0011-R6a-SM-5NQ7C,0.9789
GTEX-13PDP-2926-SM-5N9E8,0.5271
GTEX-ZE9C-0011-R5a-SM-5EGLO,1.5165
GTEX-139UC-0011-R3b-SM-5K7VZ,0.1903
GTEX-12WSC-0011-R10a-SM-5GU57,0.0718
GTEX-117XS-3126-SM-5GIDP,0.0014
GTEX-XOTO-0011-R8A-SM-4B65J,-0.2845
GTEX-11H98-0011-R10b-SM-5NQ98,0.3573
GTEX-11OF3-0011-R7a-SM-57WCG,1.7446
GTEX-14ASI-3026-SM-5S2PN,0.1903
GTEX-NPJ8-2626-SM-26GMI,2.2723
GTEX-13CIG-0011-R9a-SM-5K7VU,-0.5332
GTEX-WWYW-0011-R1A-SM-3TW8G,1.4011
GTEX-NL4W-0011-R6a-SM-2I3GA,1.8643
GTEX-NPJ7-0011-R10A-SM-2I3E5,1.0503
GTEX-13NYB-0011-R7a-SM-5MR5D,1.7185
GTEX-13FLW-0011-R8b-SM-5J1MZ,2.0218
GTEX-Q2AG-0011-R8A-SM-2HMK5,0.7233
GTEX-13X6K-0011-R3b-SM-5PNUD,2.9432
GTEX-X585-0011-R1B-SM-46MVE,1.2516
GTEX-13N2G-0011-R5a-SM-5MR33,0.5568
GTEX-RVPU-0011-R6A-SM-2XCAC,-2.6349
GTEX-13X6I-0011-R11a-SM-5P9HN,1.4335
GTEX-13S7M-3126-SM-5RQJQ,1.2209
GTEX-ZDXO-0011-R3a-SM-4WKFS,0.6239
GTEX-13RTJ-0011-R3a-SM-5PNX7,0.3685
GTEX-139UC-0011-R4a-SM-5K7XM,-0.2328
GTEX-X261-0011-R8A-SM-4E3I5,3.5754
GTEX-12126-0926-SM-5FQTW,1.4859
GTEX-14ASI-0011-R8b-SM-5S2UB,0.9862
GTEX-14A5I-2826-SM-5SIBF,1.683
GTEX-12WSA-0011-R2a-SM-57WDK,0.6517
GTEX-NPJ7-0011-R1a-SM-3GACT,1.8036
GTEX-13N2G-0011-R6b-SM-5MR3P,3.5073
GTEX-NPJ7-0011-R4a-SM-2I3GJ,1.4011
GTEX-NL3H-0011-R6a-SM-2I3G8,2.0946
GTEX-ZAB4-0011-R10a-SM-4SOKH,1.3791
GTEX-13SLW-0011-R11a-SM-5SI8Q,-0.0574
GTEX-11WQK-3026-SM-5EQL6,0.8961
GTEX-131XW-0011-R6b-SM-5K7XY,1.9111
GTEX-N7MT-1126-SM-2YUNQ,3.868
GTEX-WL46-2926-SM-3LK82,0.0158
GTEX-ZDXO-2926-SM-4WKFM,1.4388
GTEX-1399T-0011-R4b-SM-5DUVX,1.9302
GTEX-12ZZW-0011-R7a-SM-5DUWC,1.412
GTEX-1445S-0011-R2b-SM-5PNUH,1.3567
GTEX-R55E-0011-R11A-SM-2TC6I,1.1577
GTEX-QMR6-1326-SM-32PLB,0.4233
GTEX-147F4-0011-R8b-SM-5S2UN,0.2998
GTEX-139TS-0011-R10a-SM-5K7TU,-1.1172
GTEX-12WSB-0011-R7b-SM-5GU6V,4.1859
GTEX-13IVO-0011-R11b-SM-5LZXQ,0.4657
GTEX-1212Z-0011-R1b-SM-5BC72,-0.6873
GTEX-Q2AG-0011-R2A-SM-2HMIT,1.3567
GTEX-11H98-0011-R5b-SM-57WCF,1.8201
GTEX-ZV68-0011-R7a-SM-51MT4,-1.2142
GTEX-12ZZY-0011-R10b-SM-5HL7W,3.3321
GTEX-12WSC-0011-R5b-SM-5CVNS,1.5013
GTEX-11GSO-2926-SM-5HL73,-0.5973
GTEX-13O3O-0011-R10a-SM-5LUA9,1.0711
GTEX-12WSF-0011-R1a-SM-5DUVI,0.8726
GTEX-12WSM-0011-R7b-SM-5EGLD,1.1447
GTEX-139UC-3126-SM-5J1OY,0.2642
GTEX-11GSP-0011-R10a-SM-5NQ7J,0.346
GTEX-ZF28-0011-R8a-SM-4WWFW,2.004
GTEX-RVPU-0011-R3A-SM-2XCAE,-1.9942
GTEX-RNOR-0011-R3A-SM-2TF5J,-9.9658
GTEX-13OVJ-0011-R2b-SM-5L3GP,-0.1345
GTEX-QMR6-0011-R5A-SM-32PKT,1.8036
GTEX-11WQC-0011-R11b-SM-57WD6,2.043
GTEX-11DXW-1026-SM-5H11K,1.2934
GTEX-ZE9C-0011-R2a-SM-4WKGH,0.2881
GTEX-14753-0011-R8b-SM-5S2U1,-3.6259
GTEX-13FHP-3026-SM-5IJBS,-0.013
GTEX-13VXU-0011-R7b-SM-5SI72,1.6466
GTEX-12WSE-0011-R7a-SM-5PNWF,-3.458
GTEX-X585-3026-SM-46MWF,1.6374
GTEX-12WSF-0011-R10a-SM-5LZVH,1.0779
GTEX-ZE9C-0011-R4a-SM-4WKH6,-0.3566
GTEX-14BIN-0011-R11a-SM-5SI79,0.7579
GTEX-12ZZX-2926-SM-5GCOQ,1.5013
GTEX-Y8DK-0011-R11A-SM-4SOK2,-0.8339
GTEX-WZTO-2926-SM-3NM9I,2.9857
GTEX-WWYW-0011-R5A-SM-3NB3E,2.7117
GTEX-13QJC-0011-R2b-SM-5PNUN,2.8034
GTEX-13SLX-0011-R10a-SM-5P9HV,0.5271
GTEX-RVPV-0011-R11A-SM-2TF6F,0.9935
GTEX-12WSA-0011-R7b-SM-5GU5U,1.7912
GTEX-1269C-3126-SM-5EGI6,1.4441
GTEX-11WQK-0011-R10a-SM-5BC6R,-0.0877
GTEX-13OVJ-0011-R1b-SM-5L3I6,0.4865
GTEX-139TS-0011-R2b-SM-5J1MX,-0.5756
GTEX-11OF3-0011-R6b-SM-57WBG,1.9415
GTEX-13FHO-0011-R3b-SM-5K7YA,0.1903
GTEX-RU72-0011-R5A-SM-2TF6U,1.6374
GTEX-13OVL-0011-R1a-SM-5L3H5,2.7336
GTEX-X4XX-0011-R11A-SM-46MWQ,-0.1993
GTEX-ZF28-0011-R5a-SM-4WWCZ,3.2389
GTEX-NPJ7-0011-R9a-SM-2TC5R,2.609
GTEX-13OW6-0011-R10a-SM-5L3HE,0.0158
GTEX-T6MN-0011-R1A-SM-32QOY,2.1345
GTEX-RVPU-0011-R7A-SM-2XCAB,0.3907
GTEX-11GSP-0011-R7b-SM-57WC3,1.595
GTEX-12ZZX-0011-R6a-SM-5HL8L,2.9071
GTEX-131XW-0011-R10a-SM-5DUVA,2.9356
GTEX-UTHO-0011-R6A-SM-3GIJW,2.5658
GTEX-13VXU-3026-SM-5LU3K,0.8408
GTEX-T2IS-0011-R2A-SM-32QPF,2.3164
GTEX-131XH-2926-SM-5LZU4,3.4543
GTEX-139UC-0011-R5b-SM-5K7VY,1.8404
GTEX-QDT8-0011-R5A-SM-32PKN,0.5763
