sample,ZP3_log2_TPM
GTEX-ZC5H-2726-SM-5KLZW,2.8799
GTEX-WYJK-0326-SM-3NMA8,0.7321
GTEX-PWCY-2026-SM-5QGQ9,-2.9324
GTEX-13NYB-2926-SM-5K7VH,0.7058
GTEX-ZYFG-0126-SM-5GIDH,0.9419
GTEX-WOFM-0426-SM-4OOSG,3.0978
GTEX-ZAB5-1426-SM-5HL9D,0.5955
GTEX-11EQ9-1126-SM-5987I,0.4016
GTEX-ZV68-0011-R5a-SM-4YCDW,0.8408
GTEX-11ZTT-0426-SM-5EQLK,0.2522
GTEX-11EM3-1026-SM-5A5KL,-0.1504
GTEX-111YS-1726-SM-5GIED,1.4652
GTEX-1497J-0005-SM-5NQBD,0.5666
GTEX-WFG7-0326-SM-5SI7L,1.1897
GTEX-QCQG-1926-SM-2S1PI,-0.8599
GTEX-12WSG-2426-SM-5EQLZ,0.2881
GTEX-WYJK-0826-SM-3NM8Y,-1.0262
GTEX-XGQ4-1526-SM-4AT6H,1.4547
GTEX-11GSP-0011-R6b-SM-57WBQ,-0.0877
GTEX-Y5V6-1026-SM-4VBS2,2.3451
GTEX-111FC-0226-SM-5N9B8,1.8444
GTEX-146FR-1526-SM-5SIB8,1.642
GTEX-WHPG-2326-SM-3NMBP,0.2029
GTEX-YEC4-2126-SM-5IFJH,1.3846
GTEX-OOBJ-0426-SM-3NB1S,1.8722
GTEX-ZZPT-0626-SM-5GZXT,-2.114
GTEX-ZE7O-0226-SM-5S2N1,0.3231
GTEX-11ZVC-2926-SM-5986H,-0.4921
GTEX-12BJ1-0126-SM-5LU9P,0.4761
GTEX-ZVT3-1426-SM-59HLP,0.9642
GTEX-XYKS-0002-SM-4BRWN,1.7575
GTEX-SIU8-0126-SM-2XCDT,4.1219
GTEX-Y111-0126-SM-4SOIV,1.7316
GTEX-11GS4-0008-SM-5QGRA,1.3567
GTEX-V955-0426-SM-3GAEL,1.3511
GTEX-13O61-2326-SM-5J1NJ,-2.8262
GTEX-YJ8O-2526-SM-5HL85,1.3567
GTEX-13NZB-2026-SM-5MR4M,1.1184
GTEX-11I78-0826-SM-5A5K4,-0.5756
GTEX-13U4I-2026-SM-5LU3L,1.8404
GTEX-WI4N-1026-SM-3LK7N,1.9452
GTEX-13OVI-0826-SM-5KLZ8,1.7273
GTEX-1399T-1326-SM-5PNVH,3.9608
GTEX-13OVL-0011-R3b-SM-5L3I8,2.1798
GTEX-Q2AI-0006-SM-2I3FG,-1.4699
GTEX-ZTSS-1226-SM-51MSZ,1.105
GTEX-P4PP-0005-SM-2HMKX,-1.5105
GTEX-11DYG-2526-SM-5N9BB,1.8484
GTEX-S3XE-1026-SM-4AD4O,0.434
GTEX-QLQ7-1626-SM-2S1R8,2.1766
GTEX-13PVR-1426-SM-5S2PW,1.8722
GTEX-WQUQ-2426-SM-4MVNW,1.0151
GTEX-XBED-0006-SM-47JXO,-1.5522
GTEX-111CU-0226-SM-5GZXC,-0.4131
GTEX-ZF29-0326-SM-4WKFB,-0.6873
GTEX-13OW7-0011-R5b-SM-5O9DM,1.9377
GTEX-13OW6-0326-SM-5L3H9,0.5069
GTEX-WHPG-0926-SM-4M1XY,0.8805
GTEX-RN64-0826-SM-2TC62,-1.9942
GTEX-13X6I-2726-SM-5Q5ET,1.8444
GTEX-S7SE-0526-SM-2XCD8,0.7146
GTEX-QCQG-1926-SM-5SI7Q,0.8647
GTEX-QEL4-1326-SM-447AD,1.9226
GTEX-14A6H-2726-SM-5QGPL,1.1833
GTEX-ZP4G-0526-SM-4YCED,0.0158
GTEX-ZVT3-0826-SM-5GIC8,-0.8599
GTEX-11WQK-3126-SM-5EGI2,0.9789
GTEX-ZE9C-0011-R11a-SM-4WKGG,0.6425
GTEX-1122O-0126-SM-5GICA,-0.2671
GTEX-ZUA1-2126-SM-57YRB,2.2113
GTEX-13G51-0926-SM-5IFFU,2.0673
GTEX-ZAB4-1126-SM-5HL86,2.5011
GTEX-11EQ8-0008-SM-5Q5DJ,1.7097
GTEX-13NYC-2426-SM-5MR3K,0.099
GTEX-ZAB5-0626-SM-5PNVB,-0.5543
GTEX-X5EB-2526-SM-4E3HY,0.5859
GTEX-12WSI-0226-SM-5GCNA,-1.9379
GTEX-13JVG-0526-SM-5IJBN,1.4281
GTEX-ZT9W-1326-SM-51MTB,2.4597
GTEX-XMD1-0826-SM-4AT52,0.6425
GTEX-ZZPT-2926-SM-5EQ5S,-0.9971
GTEX-11GSO-2426-SM-5A5LY,2.0535
GTEX-12696-0826-SM-5EGGE,-2.0529
GTEX-OXRL-0126-SM-2YUMP,0.3231
GTEX-11DXX-0926-SM-5H112,0.537
GTEX-12ZZY-3026-SM-5GCOU,3.4237
GTEX-WHSE-2926-SM-3NMBG,0.7493
GTEX-XV7Q-0008-SM-4BRWL,1.1577
GTEX-12584-0226-SM-5EQL5,0.0014
GTEX-11ZUS-3026-SM-5EGI4,0.9935
GTEX-11P81-0926-SM-59874,1.177
GTEX-U4B1-0126-SM-4DXSN,3.3003
GTEX-13QBU-1626-SM-5LU4S,0.1776
GTEX-OHPL-0426-SM-3TW8X,1.3397
GTEX-VJYA-1726-SM-3NMDQ,1.3167
GTEX-ZAB4-1726-SM-5HL8C,2.5363
GTEX-ZYY3-1726-SM-5EGH3,-1.3548
GTEX-X4EP-0326-SM-3P5Z6,2.108
GTEX-ZPIC-0002-SM-4WWEC,0.2277
GTEX-13O1R-0226-SM-5K7U5,0.1388
GTEX-12ZZW-2926-SM-5LZUP,0.03
GTEX-Y3IK-0726-SM-4WWE5,2.8799
GTEX-ZE7O-0826-SM-57WCP,1.3283
GTEX-ZYT6-1226-SM-5E44Q,0.3231
GTEX-133LE-0326-SM-5P9G4,0.7999
GTEX-145ME-0326-SM-5S2QO,0.8082
GTEX-U3ZN-0002-SM-3NMDF,1.2815
GTEX-YB5E-0526-SM-4VDSD,1.177
GTEX-12584-3126-SM-5EGKR,1.1833
GTEX-131XG-0826-SM-5LZVS,1.2147
GTEX-ZAB5-0726-SM-5P9JG,0.3796
GTEX-N7MT-0726-SM-3TW8S,3.335
GTEX-12WSD-0011-R9a-SM-5GU6W,0.8082
GTEX-R45C-1226-SM-48FEE,3.1829
GTEX-14A5I-2726-SM-5SIB3,2.6579
GTEX-ZLV1-1926-SM-5FQSF,3.0842
GTEX-PWCY-0826-SM-48TCR,-2.0529
GTEX-12WSB-0126-SM-59HJN,4.5934
GTEX-YFC4-0011-R11a-SM-4SOK6,-1.0262
GTEX-ZXG5-0926-SM-5NQ8H,-0.3383
GTEX-13N2G-2326-SM-5J1ON,-0.7588
GTEX-11P81-1926-SM-5BC53,2.4571
GTEX-X261-0011-R5A-SM-3NMB4,3.4713
GTEX-12126-0726-SM-5FQTX,1.6964
GTEX-13OVG-0005-SM-5P9HA,-1.9942
GTEX-NPJ8-1926-SM-3MJGB,2.8522
GTEX-ZUA1-2726-SM-59HLJ,3.0481
GTEX-12WSG-1026-SM-5EGII,0.3231
GTEX-11OC5-0626-SM-5HL6M,-0.5973
GTEX-14C39-2526-SM-5S2UH,1.5266
GTEX-ZPU1-1026-SM-4YCEQ,1.3846
GTEX-X585-2526-SM-4QAS1,1.177
GTEX-1128S-2526-SM-5H11N,-0.9132
GTEX-1399R-0526-SM-5IJEF,2.4412
GTEX-144GL-1026-SM-5O99R,-2.0529
GTEX-ZVZQ-0011-R7b-SM-57WBB,0.4761
GTEX-QEG4-0926-SM-4R1JO,4.0019
GTEX-SNMC-0008-SM-4DM5A,1.3225
GTEX-P4PQ-2126-SM-3NMCV,0.4125
GTEX-QVJO-0008-SM-447AU,-0.2328
GTEX-13D11-1226-SM-5IFGA,0.537
GTEX-12WSB-0726-SM-5N9GD,4.1011
GTEX-XV7Q-0826-SM-4BRV7,0.3796
GTEX-Y5V6-2426-SM-4VDSB,3.2572
GTEX-1211K-0726-SM-5FQUW,1.0151
GTEX-N7MT-0326-SM-48TDP,3.2158
GTEX-T5JW-0426-SM-4DM7M,1.4281
GTEX-11P81-2726-SM-59876,1.6512
GTEX-11I78-1926-SM-59878,1.8282
GTEX-Y5V5-0826-SM-4VBQD,-0.5543
GTEX-11EQ8-0006-SM-5P9HJ,0.058
GTEX-Z93S-0008-SM-4RGM5,0.7579
GTEX-12ZZX-0011-R8a-SM-5DUW8,1.5366
GTEX-13OVH-0126-SM-5MR4B,1.6604
GTEX-XQ8I-1826-SM-4BOOJ,1.674
GTEX-13PDP-0011-R1a-SM-5PNX5,0.1519
GTEX-Y111-2226-SM-4SOJB,-0.3383
GTEX-1212Z-0226-SM-59HLF,-3.458
GTEX-XUYS-0326-SM-47JX2,0.1903
GTEX-ZV7C-0726-SM-59HKH,0.5568
GTEX-XBED-2626-SM-4E3J5,-4.035
GTEX-1211K-0826-SM-5FQUP,0.7579
GTEX-U8XE-0926-SM-3DB8V,-3.6259
GTEX-XUW1-0926-SM-4BONX,1.3225
GTEX-133LE-1226-SM-5IFGC,1.7954
GTEX-14C5O-0126-SM-5SI6N,2.4518
GTEX-YECK-0526-SM-4W1ZD,0.7233
GTEX-145MG-1526-SM-5Q5EM,2.5437
GTEX-XLM4-0008-SM-4AT4W,2.4306
GTEX-11TTK-2926-SM-5PNYP,-0.2328
GTEX-YF7O-0226-SM-5IFJ4,1.46
GTEX-R55G-0526-SM-2TC5O,3.0533
GTEX-13N2G-1826-SM-5KM1I,1.3051
GTEX-ZEX8-0726-SM-4WKH8,2.1345
GTEX-13G51-2926-SM-5IJDL,1.0711
GTEX-11DZ1-0226-SM-5A5KF,1.1833
GTEX-WYVS-2126-SM-3NMA3,3.3435
GTEX-ZGAY-1526-SM-4WWEO,-0.3752
GTEX-YJ8O-0126-SM-5QGRG,1.9859
GTEX-ZV7C-0003-SM-4YCF6,1.0433
GTEX-13N11-1526-SM-5L3FL,1.0573
GTEX-131XH-0006-SM-5O98V,-0.5332
GTEX-14753-0426-SM-5NQAM,2.3193
GTEX-WZTO-3026-SM-3NMA2,3.0463
GTEX-1211K-0926-SM-5FQTL,2.2813
GTEX-11WQC-2426-SM-5EQKQ,0.6332
GTEX-12WSJ-0126-SM-5GCOM,1.7273
GTEX-Y5LM-2326-SM-5S2NK,-0.2671
GTEX-PW2O-0526-SM-2I3DX,0.3907
GTEX-11NV4-2326-SM-5BC4X,2.004
GTEX-14BIL-0006-SM-5N9F2,-2.114
GTEX-XV7Q-0626-SM-4BRV5,0.6332
GTEX-PLZ6-0426-SM-5IFK2,-0.8339
GTEX-12WSG-2726-SM-5EQ5M,1.3511
