Cancer,Transcript,Tx_Label,Feature,Rho,P_value,N,FDR
BRCA,ENST00000467555.1,Short isoform,Checkpoint,0.1646,4.4986852985939776e-08,1092,7.872699272539461e-08
BRCA,ENST00000467555.1,Short isoform,Myeloid,0.2086,3.325619346429931e-12,1092,2.327933542500952e-11
BRCA,ENST00000394857.7,Alt-exon isoform,M2_Macrophage,-0.032,0.2903864295243045,1092,0.964485972526169
BRCA,ENST00000394857.7,Alt-exon isoform,T_cell_exhaustion,-0.0055,0.8555058505477807,1092,0.964485972526169
BRCA,ENST00000394857.7,Alt-exon isoform,Cytolytic_activity,0.0099,0.7436983041442222,1092,0.964485972526169
BRCA,ENST00000394857.7,Alt-exon isoform,Treg,-0.0062,0.8382185440890174,1092,0.964485972526169
BRCA,ENST00000394857.7,Alt-exon isoform,IFN_gamma,0.0013,0.964485972526169,1092,0.964485972526169
BRCA,ENST00000394857.7,Alt-exon isoform,Checkpoint,-0.0084,0.782668758665664,1092,0.964485972526169
BRCA,ENST00000394857.7,Alt-exon isoform,Myeloid,-0.0253,0.4028887252545489,1092,0.964485972526169
BRCA,ENST00000416245.5,Mid isoform,M2_Macrophage,-0.0139,0.6471778976721817,1092,0.8200792809946807
BRCA,ENST00000416245.5,Mid isoform,T_cell_exhaustion,-0.0116,0.7029250979954407,1092,0.8200792809946807
BRCA,ENST00000416245.5,Mid isoform,Cytolytic_activity,-0.0169,0.5760140856523074,1092,0.8200792809946807
BRCA,ENST00000416245.5,Mid isoform,Treg,0.0311,0.30429321897410666,1092,0.7100175109395822
BRCA,ENST00000416245.5,Mid isoform,IFN_gamma,-0.0604,0.04606916748711099,1092,0.32248417240977695
BRCA,ENST00000416245.5,Mid isoform,Checkpoint,0.0,0.9992095305602124,1092,0.9992095305602124
BRCA,ENST00000416245.5,Mid isoform,Myeloid,-0.0312,0.3037301291508502,1092,0.7100175109395822
BRCA,ENST00000479793.5,Alt-terminal isoform,M2_Macrophage,-0.0745,0.013798687162196569,1092,0.09659081013537599
BRCA,ENST00000479793.5,Alt-terminal isoform,T_cell_exhaustion,-0.0025,0.9348955848376259,1092,0.9348955848376258
BRCA,ENST00000479793.5,Alt-terminal isoform,Cytolytic_activity,0.0217,0.47329184779240363,1092,0.853721429912777
BRCA,ENST00000479793.5,Alt-terminal isoform,Treg,-0.0106,0.7273977951515298,1092,0.9348955848376258
BRCA,ENST00000479793.5,Alt-terminal isoform,IFN_gamma,-0.0368,0.22458754160797242,1092,0.7860563956279035
BRCA,ENST00000479793.5,Alt-terminal isoform,Checkpoint,0.003,0.9217567966935966,1092,0.9348955848376258
BRCA,ENST00000479793.5,Alt-terminal isoform,Myeloid,-0.021,0.4878408170930154,1092,0.853721429912777
CESC,ENST00000336517.8,FL canonical (9-exon),M2_Macrophage,0.0871,0.12977283626152072,304,0.6736301886210505
CESC,ENST00000336517.8,FL canonical (9-exon),T_cell_exhaustion,-0.0519,0.3675973511668994,304,0.695252105267868
CESC,ENST00000336517.8,FL canonical (9-exon),Cytolytic_activity,-0.075,0.192465768177443,304,0.6736301886210505
CESC,ENST00000336517.8,FL canonical (9-exon),Treg,-0.0082,0.8872483251686083,304,0.8872483251686083
CESC,ENST00000336517.8,FL canonical (9-exon),IFN_gamma,0.0129,0.8226589720269333,304,0.8872483251686083
CESC,ENST00000336517.8,FL canonical (9-exon),Checkpoint,-0.0486,0.3986131480680243,304,0.695252105267868
CESC,ENST00000336517.8,FL canonical (9-exon),Myeloid,0.0391,0.49660864661990567,304,0.695252105267868
CESC,ENST00000466960.5,Retained-intron,M2_Macrophage,-0.1453,0.011220740670908884,304,0.0365586856466293
CESC,ENST00000466960.5,Retained-intron,T_cell_exhaustion,-0.0666,0.24694056012559518,304,0.43214598021979156
CESC,ENST00000466960.5,Retained-intron,Cytolytic_activity,-0.034,0.5545315738830903,304,0.5545315738830903
CESC,ENST00000466960.5,Retained-intron,Treg,-0.0458,0.42580050773590483,304,0.49676725902522234
CESC,ENST00000466960.5,Retained-intron,IFN_gamma,-0.1385,0.0156680081342697,304,0.0365586856466293
CESC,ENST00000466960.5,Retained-intron,Checkpoint,-0.0545,0.3435454628043725,304,0.4809636479261215
CESC,ENST00000466960.5,Retained-intron,Myeloid,-0.1996,0.0004636232008513474,304,0.0032453624059594318
CESC,ENST00000394860.3,5-exon truncated,M2_Macrophage,-0.1298,0.023653691643361115,304,0.09833546527224846
CESC,ENST00000394860.3,5-exon truncated,T_cell_exhaustion,-0.0494,0.39026785284383914,304,0.61485752074484
CESC,ENST00000394860.3,5-exon truncated,Cytolytic_activity,-0.0228,0.6918985046972399,304,0.8072149221467799
CESC,ENST00000394860.3,5-exon truncated,Treg,-0.0076,0.8955209872861986,304,0.8955209872861986
CESC,ENST00000394860.3,5-exon truncated,IFN_gamma,-0.0755,0.1890743227044947,304,0.441173419643821
CESC,ENST00000394860.3,5-exon truncated,Checkpoint,-0.0445,0.43918394338917144,304,0.61485752074484
CESC,ENST00000394860.3,5-exon truncated,Myeloid,-0.126,0.028095847220642418,304,0.09833546527224846
CESC,ENST00000467555.1,Short isoform,M2_Macrophage,0.2231,8.705905071638897e-05,304,0.00011533076974952639
CESC,ENST00000467555.1,Short isoform,T_cell_exhaustion,0.2615,3.829456210299352e-06,304,8.935397824031821e-06
CESC,ENST00000467555.1,Short isoform,Cytolytic_activity,0.2214,9.885494549959404e-05,304,0.00011533076974952639
CESC,ENST00000467555.1,Short isoform,Treg,0.202,0.00039471599232185453,304,0.00039471599232185453
CESC,ENST00000467555.1,Short isoform,IFN_gamma,0.2664,2.4544010057449217e-06,304,8.590403520107227e-06
CESC,ENST00000467555.1,Short isoform,Checkpoint,0.2578,5.28762417097228e-06,304,9.25334229920149e-06
CESC,ENST00000467555.1,Short isoform,Myeloid,0.3925,1.2239963020666648e-12,304,8.567974114466653e-12
CESC,ENST00000394857.7,Alt-exon isoform,M2_Macrophage,0.0104,0.8568497167083193,304,0.9917272739769807
CESC,ENST00000394857.7,Alt-exon isoform,T_cell_exhaustion,0.0119,0.8363522034567553,304,0.9917272739769807
CESC,ENST00000394857.7,Alt-exon isoform,Cytolytic_activity,-0.0203,0.7243195183015798,304,0.9917272739769807
CESC,ENST00000394857.7,Alt-exon isoform,Treg,-0.0089,0.8773677285208946,304,0.9917272739769807
CESC,ENST00000394857.7,Alt-exon isoform,IFN_gamma,0.0064,0.9108995807806224,304,0.9917272739769807
CESC,ENST00000394857.7,Alt-exon isoform,Checkpoint,-0.0006,0.9917272739769807,304,0.9917272739769807
CESC,ENST00000394857.7,Alt-exon isoform,Myeloid,0.0321,0.5776630151869111,304,0.9917272739769807
CESC,ENST00000416245.5,Mid isoform,M2_Macrophage,0.0028,0.9607107864526208,304,0.9607107864526208
CESC,ENST00000416245.5,Mid isoform,T_cell_exhaustion,-0.1153,0.04447353690306773,304,0.11585378117330397
CESC,ENST00000416245.5,Mid isoform,Cytolytic_activity,-0.1581,0.005740888718724466,304,0.04018622103107126
CESC,ENST00000416245.5,Mid isoform,Treg,-0.063,0.2738381364404693,304,0.383373391016657
CESC,ENST00000416245.5,Mid isoform,IFN_gamma,-0.0913,0.11220892256383912,304,0.19636561448671846
CESC,ENST00000416245.5,Mid isoform,Checkpoint,-0.1127,0.04965162050284456,304,0.11585378117330397
CESC,ENST00000416245.5,Mid isoform,Myeloid,-0.0304,0.5971155664312502,304,0.6966348275031252
CESC,ENST00000479793.5,Alt-terminal isoform,M2_Macrophage,-0.1093,0.05704374432362165,304,0.39930621026535157
CESC,ENST00000479793.5,Alt-terminal isoform,T_cell_exhaustion,-0.0074,0.8973283205130054,304,0.9953014135953021
CESC,ENST00000479793.5,Alt-terminal isoform,Cytolytic_activity,0.0723,0.20853296941621385,304,0.7298653929567485
CESC,ENST00000479793.5,Alt-terminal isoform,Treg,-0.0303,0.5986201527083381,304,0.9953014135953021
CESC,ENST00000479793.5,Alt-terminal isoform,IFN_gamma,0.0003,0.995301413595302,304,0.9953014135953021
CESC,ENST00000479793.5,Alt-terminal isoform,Checkpoint,0.0053,0.927024483124909,304,0.9953014135953021
CESC,ENST00000479793.5,Alt-terminal isoform,Myeloid,-0.0333,0.5626374747618814,304,0.9953014135953021
CHOL,ENST00000336517.8,FL canonical (9-exon),M2_Macrophage,0.2844,0.09271204085142322,36,0.5902499623390767
CHOL,ENST00000336517.8,FL canonical (9-exon),T_cell_exhaustion,0.0288,0.8674463953990601,36,0.9750398473755058
CHOL,ENST00000336517.8,FL canonical (9-exon),Cytolytic_activity,-0.0965,0.5754646078975394,36,0.9743247332481764
CHOL,ENST00000336517.8,FL canonical (9-exon),Treg,0.0054,0.9750398473755058,36,0.9750398473755058
CHOL,ENST00000336517.8,FL canonical (9-exon),IFN_gamma,0.1269,0.4608131225915505,36,0.9743247332481764
CHOL,ENST00000336517.8,FL canonical (9-exon),Checkpoint,-0.0674,0.6959462380344117,36,0.9743247332481764
CHOL,ENST00000336517.8,FL canonical (9-exon),Myeloid,0.2345,0.16864284638259333,36,0.5902499623390767
CHOL,ENST00000466960.5,Retained-intron,M2_Macrophage,-0.1591,0.35409497118626276,36,0.6978715206276659
CHOL,ENST00000466960.5,Retained-intron,T_cell_exhaustion,0.0973,0.5723980761996779,36,0.6978715206276659
CHOL,ENST00000466960.5,Retained-intron,Cytolytic_activity,0.2154,0.20697563590073378,36,0.6978715206276659
CHOL,ENST00000466960.5,Retained-intron,Treg,0.0909,0.5981755891094279,36,0.6978715206276659
CHOL,ENST00000466960.5,Retained-intron,IFN_gamma,0.0288,0.8674463953990601,36,0.8674463953990601
CHOL,ENST00000466960.5,Retained-intron,Checkpoint,0.1678,0.3278888660739361,36,0.6978715206276659
CHOL,ENST00000466960.5,Retained-intron,Myeloid,-0.1346,0.4337508942024786,36,0.6978715206276659
CHOL,ENST00000394860.3,5-exon truncated,M2_Macrophage,0.0095,0.9560370036644701,36,0.9560370036644701
CHOL,ENST00000394860.3,5-exon truncated,T_cell_exhaustion,0.1143,0.5068861175687999,36,0.7465143739937643
CHOL,ENST00000394860.3,5-exon truncated,Cytolytic_activity,0.2685,0.11337965654324225,36,0.7465143739937643
CHOL,ENST00000394860.3,5-exon truncated,Treg,0.1073,0.5332245528526888,36,0.7465143739937643
CHOL,ENST00000394860.3,5-exon truncated,IFN_gamma,0.2088,0.22177488774959697,36,0.7465143739937643
CHOL,ENST00000394860.3,5-exon truncated,Checkpoint,0.1109,0.519485539477333,36,0.7465143739937643
CHOL,ENST00000394860.3,5-exon truncated,Myeloid,-0.0165,0.9240290912893814,36,0.9560370036644701
CHOL,ENST00000467555.1,Short isoform,M2_Macrophage,-0.0829,0.6308185009619164,36,0.8666943681799478
CHOL,ENST00000467555.1,Short isoform,T_cell_exhaustion,-0.1184,0.4915925569530186,36,0.8666943681799478
CHOL,ENST00000467555.1,Short isoform,Cytolytic_activity,-0.0613,0.72264269082785,36,0.8666943681799478
CHOL,ENST00000467555.1,Short isoform,Treg,-0.0566,0.7428808870113839,36,0.8666943681799478
CHOL,ENST00000467555.1,Short isoform,IFN_gamma,-0.0903,0.600259342775709,36,0.8666943681799478
CHOL,ENST00000467555.1,Short isoform,Checkpoint,-0.1467,0.3931738152650477,36,0.8666943681799478
CHOL,ENST00000467555.1,Short isoform,Myeloid,0.0046,0.9786046990181331,36,0.9786046990181331
CHOL,ENST00000394857.7,Alt-exon isoform,M2_Macrophage,0.0,1.0,36,1.0
CHOL,ENST00000394857.7,Alt-exon isoform,T_cell_exhaustion,0.1112,0.518510904170888,36,0.7259152658392432
CHOL,ENST00000394857.7,Alt-exon isoform,Cytolytic_activity,0.1225,0.47653912135165033,36,0.7259152658392432
CHOL,ENST00000394857.7,Alt-exon isoform,Treg,0.1938,0.25735111969762253,36,0.7259152658392432
CHOL,ENST00000394857.7,Alt-exon isoform,IFN_gamma,0.1354,0.4310938674916788,36,0.7259152658392432
CHOL,ENST00000394857.7,Alt-exon isoform,Checkpoint,0.1305,0.44807341502475617,36,0.7259152658392432
CHOL,ENST00000394857.7,Alt-exon isoform,Myeloid,-0.026,0.8803663200683816,36,1.0
CHOL,ENST00000416245.5,Mid isoform,M2_Macrophage,-0.0466,0.7873004286667751,36,0.9536631134608327
CHOL,ENST00000416245.5,Mid isoform,T_cell_exhaustion,-0.01,0.9536631134608327,36,0.9536631134608327
CHOL,ENST00000416245.5,Mid isoform,Cytolytic_activity,-0.0852,0.6212667426433112,36,0.9536631134608327
CHOL,ENST00000416245.5,Mid isoform,Treg,0.0229,0.8944954430291031,36,0.9536631134608327
CHOL,ENST00000416245.5,Mid isoform,IFN_gamma,0.0978,0.5703578492288104,36,0.9536631134608327
CHOL,ENST00000416245.5,Mid isoform,Checkpoint,-0.0335,0.8463789316546749,36,0.9536631134608327
CHOL,ENST00000416245.5,Mid isoform,Myeloid,-0.0929,0.5898721335006827,36,0.9536631134608327
CHOL,ENST00000479793.5,Alt-terminal isoform,M2_Macrophage,-0.0085,0.9607858815052872,36,0.9690995196112221
CHOL,ENST00000479793.5,Alt-terminal isoform,T_cell_exhaustion,-0.0142,0.9346878091083928,36,0.9690995196112221
CHOL,ENST00000479793.5,Alt-terminal isoform,Cytolytic_activity,-0.0288,0.8674463953990601,36,0.9690995196112221
CHOL,ENST00000479793.5,Alt-terminal isoform,Treg,0.0538,0.755333750779238,36,0.9690995196112221
CHOL,ENST00000479793.5,Alt-terminal isoform,IFN_gamma,-0.0067,0.969099519611222,36,0.9690995196112221
