PMID,DOI,Title,Journal,Year,FirstAuthor,Keywords,Abstract
42504052,10.1002/cam4.72146,Overcoming Radiation Resistance: Ferroptosis Induction to Sensitize Solid Tumors to Radiation Therapy.,Cancer medicine,2026,"Carmicheal, Joseph",Humans; *Ferroptosis/drug effects/radiation effects; *Neoplasms/radiotherapy/metabolism/pathology; *Radiation Tolerance/drug effects; Animals; Reactive Oxygen Species/metabolism; *Radiation-Sensitizing Agents/pharmacology/therapeutic use; Lipid Peroxidation/radiation effects; Signal Transduction; Iron/metabolism; FIN; ROS; ferroptosis; iron; radiation; radiation therapy; radioresistance; radiosensitization,"Radiation therapy (RT) is a mainstay of treatment for a myriad of cancers, often utilized for tumors that are unable to be resected, as well as an adjunct to surgery and chemotherapy. Unfortunately, many cancers are resistant to RT-induced damage and subsequent cell death. This has spurred the pursuit of novel radiation sensitizers that could potentiate the effects of this widely used and important treatment modality. Since its discovery as a regulated cell death mechanism in 2012, ferroptosis h"
42497498,10.1016/j.smim.2026.102049,Ferroptosis at the intersection of metabolism and immunity in pancreatitis and pancreatic cancer.,Seminars in immunology,2026,"Chen, Fangquan",DAMPs; Ferroptosis; Immunity; Pancreatic cancer; Pancreatitis,"Ferroptosis links cellular metabolism to immune regulation. Beyond its role as an iron-dependent form of regulated cell death, ferroptosis generates signals, including oxidized lipids, iron metabolites, and damage-associated molecular patterns, that influence inflammatory and immune responses. The pancreas is particularly susceptible to ferroptotic stress because of its high metabolic demand and close integration with immune and stromal networks. In pancreatitis, ferroptosis translates metabolic"
42494419,10.1016/j.mtbio.2026.103461,Intra-arterial delivery of FePt nanoparticles induces ferroptosis and immune infiltration to enhance radiotherapy.,Materials today. Bio,2026,"Yeh, Yaowei",DAMPs release; FePt nanoparticles; Ferroptosis; Immunogenic cell death; Intra-arterial administration,"Recent advances in nanomedicine provide new opportunities to enhance radiotherapy and overcome tumor radioresistance. In this study, we investigated the therapeutic potential of iron-platinum nanoparticles (FePt NPs) delivered through intra-arterial (IA) administration to improve tumor targeting and therapeutic efficacy. FePt NPs significantly inhibited the proliferation of triple-negative breast cancer (TNBC) cells and enhanced radiosensitivity. Mechanistic studies demonstrated that FePt NPs in"
42492895,10.1016/j.brainresbull.2026.112053,Pyruvate alleviates traumatic brain injury by suppressing glutamate-driven ferroptosis via the xCT/GPX4 axis.,Brain research bulletin,2026,"Kuai, Jin-Xia",Blood-brain barrier; Ferroptosis; Glutamate clearance; Pyruvate; Traumatic brain injury; XCT/GPX4 axis,"Traumatic brain injury (TBI) triggers toxic glutamate release and ferroptosis, contributing to neuronal death. This study investigated whether sodium pyruvate confers neuroprotection by reducing central glutamate and inhibiting ferroptosis. Using a murine TBI model, we found that pyruvate treatment rapidly lowered serum glutamate levels by enhancing hepatic alanine aminotransferase (ALT) activity. Subsequently, cerebrospinal fluid (CSF) glutamate decreased, likely facilitated by a disrupted bloo"
42488015,10.14789/ejmj.JMJ26-0044-OA,Endotoxin-induced Ferroptosis-associated Leukocyte Injury and DAMP Release in Sepsis: An in Vitro Study.,Juntendo medical journal,2026,"Levy, Jerrold H",NETosis; damage-associated molecular patterns; ferroptosis; sepsis; thromboinflammation,BACKGROUND: Sepsis is characterized by dysregulated inflammation and thromboinflammation in which regulated cell death and damage-associated molecular patterns (DAMPs) contribute to organ injury. Ferroptosis has recently emerged as a potential mechanism of inflammatory cell injury in sepsis. OBJECTIVE: To investigate ferroptosis-associated leukocyte injury and inflammatory lytic cell death in an in vitro endotoxin model. METHODS: Rat peritoneal leukocytes were stimulated with lipopolysaccharide 
42487470,10.4196/kjpp.25.444,MiR-199a-5p aggravates hypoxia/reoxygenation-induced cardiomyocyte ferroptosis by blocking HSPB1-Keap1/Nrf2/ARE signaling.,The Korean journal of physiology & pharmacology : official journal of the Korean,2026,"He, Wenshuai",Ferroptosis; Kelch-like ECH-associated protein 1; MicroRNAs; Myocardial ischemia-reperfusion injury; NF-E2-related factor 2,"Ferroptosis plays a crucial role in hypoxia/reoxygenation (H/R)-induced cardiomyocyte injury and acute myocardial infarction (AMI), yet the involvement of microRNA-199a-5p (miR-199a-5p) in this process remains insufficiently understood. In this study, serum miR-199a-5p levels were markedly elevated in AMI patients and positively correlated with myocardial injury markers cardiac troponin I and creatine kinase-MB, while H/R stimulation similarly upregulated miR-199a-5p expression in AC16 cardiomyo"
42482193,10.1186/s12575-026-00355-z,Identification and Validation of Genes Involved in Immune and Ferroptosis in Polycystic Ovarian Syndrome Using Bioinformatics and Experimental Approach.,Biological procedures online,2026,"Chen, Yang",Diagnostic Biomarkers; Ferroptosis; Immune Dysregulation; Polycystic Ovary Syndrome,"BACKGROUND: Polycystic ovary syndrome (PCOS) is a highly prevalent endocrine and metabolic disease. This study aimed to investigate the synergistic role of immune dysregulation and ferroptosis during the pathogenesis of PCOS. METHODS: Through integrating multiple Gene Expression Omnibus (GEO) datasets, differentially expressed genes (DEGs) were screened and subjected to functional enrichment analysis; weighted gene co‑expression network analysis combined with LASSO, RandomForest, and support vec"
42477052,10.1038/s41598-026-62768-w,Baicalin alleviates X-ray radiation-induced intestinal injury by inhibiting GPX4 mediated ferroptosis.,Scientific reports,2026,"Huang, Jie",Baicalin; GPX4; Intestinal injury; Radiation; X-ray,"Radiation-induced intestinal injury (RIII) is a common complication of radiotherapy for abdominal and pelvic malignancies, for which effective therapeutic options remain limited. Baicalin, a flavonoid derived from Scutellaria baicalensis, exhibits anti-inflammatory and antioxidant properties, but its role in RIII and underlying mechanisms remain unclear. C57BL/6J mice were exposed to total body irradiation (8.5 Gy) and treated with baicalin (25, 50, or 100 mg/kg/d) for 10 consecutive days. Intes"
42476473,10.1016/j.ejps.2026.107614,LARS inhibition overcomes regorafenib resistance in hepatocellular carcinoma via ferroptosis and drug metabolism.,European journal of pharmaceutical sciences : official journal of the European,2026,"Tsai, Tung-Yao",Drug metabolism; Ferroptosis; Hepatocellular carcinoma; Leucyl-tRNA synthetase; Regorafenib resistance,"BACKGROUND: Regorafenib improves outcomes in advanced hepatocellular carcinoma (HCC), but acquired resistance limits its durable therapeutic benefit. The metabolic and redox mechanisms driving regorafenib resistance remain incompletely defined. METHODS: Regorafenib-resistant Huh7 and Hep3B cell (Reg(R)-) models were generated by long-term stepwise drug exposure. Transcriptomic profiling, LC-MS/MS, Seahorse extracellular flux analysis, ferroptosis-related assays, and apoptosis assays were used to"
42476445,10.1016/j.tox.2026.154543,Triclocarban drives intrahepatic cholangiocyte injury by triggering ferroptosis via the SLC7A11/GSH/GPX4 axis.,Toxicology,2026,"Zhao, Jiadi","*Ferroptosis/drug effects; Animals; *Amino Acid Transport System y+/metabolism; *Carbanilides/toxicity; *Glutathione/metabolism; *Phospholipid Hydroperoxide Glutathione Peroxidase/metabolism; *Bile Ducts, Intrahepatic/drug effects/pathology/metabolism; Humans; Mice; Lipid Peroxidation/drug effects; Reactive Oxygen Species/metabolism; Iron/metabolism; Organoids/drug effects; Mice, Inbred C57BL; Chemical and Drug Induced Liver Injury/pathology/etiology; *Anti-Infective Agents, Local/toxicity; Biliary injury; Cholangiocyte organoids; Ferroptosis; Triclocarban","Triclosan (TCS) and triclocarban (TCC), which are widely used as antimicrobial agents, come into direct contact with humans due to their increasing environmental release. Because of concerns regarding the environmental impact and potential hepatotoxicity of TCS, it is being phased out in many countries and substituted with TCC. However, the biological and molecular mechanisms underlying TCC's toxicity, particularly in relation to liver damage, remain largely unexplored. In this study, we demonst"
42476204,10.1016/j.jep.2026.122215,Mailuo Shutong pills alleviate limb swelling in femoral fracture rats by orchestrating mitophagic clearance and ferroptotic suppression.,Journal of ethnopharmacology,2026,"Zhuang, Xia",Ferroptosis; Mailuo Shutong pills; Mitochondrial respiratory; Mitophagy; Swelling caused by femoral fracture,"ETHNOPHARMACOLOGICAL RELEVANCE: Mailuo Shutong Pill (MLSTP) is a well-established formula developed by National Grand Master of Traditional Chinese Medicine Tang Zuxuan for treating thrombotic superficial phlebitis of the lower limbs. Clinically, it is commonly used for conditions caused by damp-heat and blood stasis obstructing the meridians, including thrombotic superficial phlebitis, subacute deep vein thrombosis, varicose veins, diabetic foot, as well as limb swelling and pain. AIM OF THE ST"
42475907,10.1016/j.biomaterials.2026.124454,Engineered senescence-targeting apoptotic extracellular vesicles-laden injectable hydrogel microspheres mitigating nucleus pulposus cell ferroptosis against intervertebral disc degeneration.,Biomaterials,2026,"Shi, Pengzhi",Apoptotic extracellular vesicles; Ferroptosis; Hydrogel microspheres; Intervertebral disc degeneration; Nucleus pulposus cell senescence; Senescence-targeting peptide,"As the rapid growth of aging population, intervertebral disc degeneration (IVDD) becomes a prevalent degenerative disorder in clinical practice. Ferroptosis-induced senescence in nucleus pulposus cells (NPCs) represents a primary pathological mechanism underlying IVDD. Strategies for reducing ferroptosis to delay NPC senescence hold prospects for therapeutic advances. According to previously reported proteomic profiles of apoptotic extracellular vesicles (ApoEVs), we noticed that most key ferrop"
42475662,10.2450/BloodTransfus.1322,Salvianolic acid B alleviates red blood cell storage lesion with GPX4 preservation and reduced lipid peroxidation.,Blood transfusion = Trasfusione del sangue,2026,"Chen, Chuan'ai",,"BACKGROUND: Red blood cell (RBC) storage lesion is a cascade of biochemical and physical alterations that impair transfusion efficacy and safety. This study explored the role and underlying mechanism of salvianolic acid B (Sal B) against RBC storage lesion, with a specific focus on a ferroptosis-like process. MATERIALS AND METHODS: RBC from healthy volunteers were stored in MAP additive solution for 35 days, and samples were analyzed at weekly intervals. Ferroptosis was determined by the levels "
42472836,10.1186/s12957-026-04507-z,"Non-coding RNA-mediated ferroptosis reprogramming in doxorubicin-resistant breast cancer: mechanistic evidence, subtype vulnerabilities, and translational strategies.",World journal of surgical oncology,2026,"Yu, Xiaojie",Breast Cancer; Chemoresistance; Doxorubicin; Ferroptosis; Non-coding RNAs,"Doxorubicin (DOX) resistance is a major factor limiting the efficacy of chemotherapy in breast cancer. Its development is associated not only with conventional mechanisms, such as enhanced drug efflux, increased DNA damage repair capacity, and evasion of apoptosis, but also with the adaptive escape of tumor cells from ferroptotic stress. Ferroptosis is a form of regulated cell death driven by the accumulation of iron-dependent lipid peroxidation and is coordinately regulated by multiple mechanis"
42471867,10.1016/j.jot.2026.101178,Signal-driven interplay between lipid peroxidation and ferroptosis orchestrates osteoarthritis degeneration.,Journal of orthopaedic translation,2026,"Kulyar, Md F",Chondrocyte signalling; Ferroptosis; Iron homeostasis; Lipid peroxidation; Osteoarthritis; Redox signalling,"Osteoarthritis (OA) is progressively documented as a whole-joint disorder in which oxidative stress, iron dysregulation and intercellular communication together drive progressive tissue degeneration. Among the chief oxidative mechanisms, lipid peroxidation has arisen as a critical contributor to cartilage destruction and inflammatory signalling cascade. Reactive aldehydes produced during lipid peroxidation, mainly malondialdehyde (MDA) and 4-hydroxy-2-nonenal (4-HNE), function as electrophilic m"
