num,line,doi,pmid,year_ms,status,cr_title,cr_year,cr_journal,pmid_doi,note
46,"Zhao W, Li S, Li W. Integrative bulk and single-cell analyses implicate ASL in M",10.1007/s10142-026-01973-2,42420626,2026,VERIFIED,Integrative bulk and single-cell analyses implicate ASL in MIF-associated myeloid programs,2026,Functional &amp; Integrative Genomics,10.1007/s10142-026-01973-2,DOI + PMID 双向一致
47,"He Y, Yu J, Huang M, Lu P, Liu B, Zhang C, et al. Single-cell transcriptomics re",10.1186/s12885-026-16321-7,42374253,2026,VERIFIED,Single-cell transcriptomics reveals MAFB-driven macrophage reprogramming and immune diverg,2026,BMC Cancer,10.1186/s12885-026-16321-7,DOI + PMID 双向一致
48,"Dąbrowski M, Kaza B, Gielniewski B, Wojtaś B, Kamińska B, Maleszewska M. Microgl",10.55782/z4j0rp75,42370614,2026,VERIFIED,Microglia up‑regulate thromboxane A2 synthesis genes in response to C6 glioma‑conditioned ,2026,Acta Neurobiologiae Experimentalis,10.55782/z4j0rp75,DOI + PMID 双向一致
49,"Liu S, Liu X, Wu F, Li S, Qian Z, Zhao Z. A spatially resolved single-cell atlas",10.1016/j.nbd.2026.107530,42431468,2026,VERIFIED,A spatially resolved single-cell atlas identifies blood-brain barrier integrity as a centr,2026,Neurobiology of Disease,10.1016/j.nbd.2026.107530,DOI + PMID 双向一致
50,"Mossi Albiach A, Janusauskas J, Kjaer Jacobsen J, Kapustová I, Karamzadeh R, Kve",10.1016/j.medj.2026.101228,42492522,2026,VERIFIED,Tissue-reactive zonation of mesenchymal-like phenotypes in human glioblastoma,2026,Med,10.1016/j.medj.2026.101228,DOI + PMID 双向一致
51,"Wang R, Wu W, Wu X, Yuan Y, Zhang Z, Chen J, et al. Integrative single-cell and ",10.1186/s12967-026-08555-7,42436508,2026,VERIFIED,Integrative single-cell and spatial transcriptomic analysis reveals a lactate-driven cross,2026,Journal of Translational Medicine,10.1186/s12967-026-08555-7,DOI + PMID 双向一致
52,"Wang Y, Zhou D, Hong Z. Integrative Multi-Omics Analysis Identifies an SPP1-Asso",10.3390/genes17060610,42353769,2026,VERIFIED,Integrative Multi-Omics Analysis Identifies an SPP1-Associated Spatial Mesenchymal–Myeloid,2026,Genes,10.3390/genes17060610,DOI + PMID 双向一致
53,"Wang B, An Y, Shu Y, Cheng X, Chen X, Zhang X, et al. Integrated single-cell RNA",10.1371/journal.pone.0351849,42361107,2026,VERIFIED,Integrated single-cell RNA sequencing and Bulk-RNA technologies reveal the immunological c,2026,PLOS One,10.1371/journal.pone.0351849,DOI + PMID 双向一致
54,"Kang J, Xu Y, Zhao Q, Zhang B, Xu X, Yang B. Single-Cell Sequencing Reveals the ",10.32604/or.2026.079221,42358823,2026,VERIFIED,Single-Cell Sequencing Reveals the Heterogeneity of Glioma and Identifies IGFBP2 as A Pote,2026,Oncology Research,10.32604/or.2026.079221,DOI + PMID 双向一致
55,"Yang T, Yuan Y, Lu N, Han R, Xu Z. A mechanosensitive gene signature associated ",10.1186/s42466-026-00515-2,42568087,2026,VERIFIED,A mechanosensitive gene signature associated with immune landscape and survival in glioma:,2026,Neurological Research and Practice,10.1186/s42466-026-00515-2,DOI + PMID 双向一致
56,"Gandhi S, Ocaña-Tienda B, Bettencourt M, Singh O, Devaraja K, Irish E, et al. In",10.1093/noajnl/vdag182,42553785,2026,VERIFIED,Intercellular adhesion molecule 1 links glioblastoma biology to a scalable prognostic mode,2026,Neuro-Oncology Advances,10.1093/noajnl/vdag182,DOI + PMID 双向一致
57,"Huo D, Feng Y, Yu Z, Xie W, Jin H. Ubiquitin‐Proteasome System–Related Prognosti",10.1155/ijog/2045937,42488132,2026,VERIFIED,Ubiquitin‐Proteasome System–Related Prognostic Model and Immune Landscape in Glioblastoma,2026,International Journal of Genomics,10.1155/ijog/2045937,DOI + PMID 双向一致
58,"Sun M, Jiang S, Zeng Y, Liu B, Wang Y, Li Z, et al. GliomaDeconv maps glioma-spe",10.1016/j.canlet.2026.218716,42413813,2026,VERIFIED,GliomaDeconv maps glioma-specific cellular programs from bulk transcriptomic profiles and ,2026,Cancer Letters,10.1016/j.canlet.2026.218716,DOI + PMID 双向一致
59,"Wang Y, Cai M. Integrative transcriptomics, machine learning, and molecular dock",10.1016/j.compbiolchem.2026.109202,42413331,2026,VERIFIED,"Integrative transcriptomics, machine learning, and molecular docking derive a DAM-like mac",2026,Computational Biology and Chemistry,10.1016/j.compbiolchem.2026.109202,DOI + PMID 双向一致
60,"Xu H, Li C, Qin R, Mao Z, Lai X, Shao L, et al. MCL inhibits macrophage ferropto",10.1016/j.intimp.2026.117056,42330582,2026,VERIFIED,MCL inhibits macrophage ferroptosis through the NRF2/HO-1/GPX4 axis to attenuate carotid a,2026,International Immunopharmacology,10.1016/j.intimp.2026.117056,DOI + PMID 双向一致
61,"Liu Y, Yin L, Zhang P, Li W. Endothelial ferroptosis in blood–brain barrier dysf",10.3389/fimmu.2026.1825000,42327731,2026,VERIFIED,Endothelial ferroptosis in blood–brain barrier dysfunction and neuroinflammation: mechanis,2026,Frontiers in Immunology,10.3389/fimmu.2026.1825000,DOI + PMID 双向一致
62,"Guo F, Deng T, Yan J, Mo Y, Huang Q, Jiang Q, et al. Integrative multi-omics ana",10.1007/s10142-026-01918-9,42321379,2026,VERIFIED,Integrative multi-omics analysis and machine learning identify M2 macrophage–induced ferro,2026,Functional &amp; Integrative Genomics,10.1007/s10142-026-01918-9,DOI + PMID 双向一致
63,"Kuai J, Zuo H, Fang X, Hao J, Chen Y, Yang X, et al. Pyruvate alleviates traumat",10.1016/j.brainresbull.2026.112053,42492895,2026,VERIFIED,Pyruvate alleviates traumatic brain injury by suppressing glutamate-driven ferroptosis via,2026,Brain Research Bulletin,10.1016/j.brainresbull.2026.112053,DOI + PMID 双向一致
64,"Zhang C, Teng D, Wang C, Feng R, Huang X, Hu B, et al. TREM1 unleashes immunosup",10.3389/fimmu.2026.1871988,42491234,2026,VERIFIED,TREM1 unleashes immunosuppression in glioma: targeting macrophage polarization as a new th,2026,Frontiers in Immunology,10.3389/fimmu.2026.1871988,DOI + PMID 双向一致
65,"Wu L, Wu G, Zhai Y, Ren C, Zhou H, Shi J, et al. Dissection of spatial hypoxic a",10.1016/j.canlet.2026.218718,42409256,2026,VERIFIED,Dissection of spatial hypoxic and inflammatory ecosystem in glioblastoma,2026,Cancer Letters,10.1016/j.canlet.2026.218718,DOI + PMID 双向一致
66,"Guo Y, Zhao C, Liu H, Ning W, Zhao J, Chen Y, et al. PD-1 H (VISTA) drives immun",10.1186/s12967-026-08497-0,42324467,2026,VERIFIED,PD-1 H (VISTA) drives immunosuppressive reprogramming of glioma-associated myeloid cells t,2026,Journal of Translational Medicine,10.1186/s12967-026-08497-0,DOI + PMID 双向一致
67,"Yu D, Hu R, Zhu Q, Wang X. CD13 identifies S100A4+ immunosuppressive monocytes a",10.1186/s13062-026-00889-y,42415204,2026,VERIFIED,CD13 identifies S100A4+ immunosuppressive monocytes and predicts temozolomide benefit in g,2026,Biology Direct,10.1186/s13062-026-00889-y,DOI + PMID 双向一致
