Cancer,Transcript,Median_prop,Mean_prop,N
KIRC,ENST00000479793.5,0.0005123229075075816,0.03071857149558494,530
OV,ENST00000336517.8,0.8904135334703682,0.8496383324041491,420
OV,ENST00000466960.5,9.56272987348101e-05,0.025335561927229747,420
OV,ENST00000394860.3,0.010230994162192005,0.016832641244309436,420
OV,ENST00000467555.1,8.384254275597305e-05,0.004402186024210713,420
OV,ENST00000394857.7,0.07641937235027316,0.09079571602181595,420
OV,ENST00000416245.5,0.006159448533362493,0.008426623844396072,420
OV,ENST00000479793.5,8.311100498847946e-05,0.0045689385338889684,420
THYM,ENST00000336517.8,0.10335460869342318,0.207565132194011,119
THYM,ENST00000466960.5,0.7202582622748795,0.634720998656106,119
THYM,ENST00000394860.3,0.032187726580746416,0.033014466005577905,119
THYM,ENST00000467555.1,0.00013428300577746985,0.03444866611195844,119
THYM,ENST00000394857.7,0.005723292795478389,0.03229968081805299,119
THYM,ENST00000416245.5,0.0007171359144668628,0.004066982137066072,119
THYM,ENST00000479793.5,0.009753531262201284,0.05388407407722759,119
LIHC,ENST00000336517.8,0.3190830938461222,0.3585795775146985,369
LIHC,ENST00000466960.5,0.42296140704255053,0.4026653387786552,369
LIHC,ENST00000394860.3,0.0012091900475413718,0.04172033433987312,369
LIHC,ENST00000467555.1,0.00072095737430687,0.07861390550641227,369
LIHC,ENST00000394857.7,0.025300226418550138,0.06994624046317516,369
LIHC,ENST00000416245.5,0.0028818300768336793,0.010124697090419894,369
LIHC,ENST00000479793.5,0.0007651160339359426,0.038349906306765845,369
BLCA,ENST00000336517.8,0.31627640103432514,0.34892354939737275,407
BLCA,ENST00000466960.5,0.374282031483076,0.3878802517476483,407
BLCA,ENST00000394860.3,0.02991383136470199,0.037177815761011326,407
BLCA,ENST00000467555.1,0.07064159409944855,0.15658371474284202,407
BLCA,ENST00000394857.7,0.02314018850043228,0.04323930116237424,407
BLCA,ENST00000416245.5,0.0030054852161005515,0.006246392718126436,407
BLCA,ENST00000479793.5,0.0024138383266229537,0.019948974470624985,407
LUSC,ENST00000336517.8,0.4759378666338355,0.4908825629853429,498
LUSC,ENST00000466960.5,0.18556705987561822,0.25891806209849094,498
LUSC,ENST00000394860.3,0.014394925290513026,0.022024413080546954,498
LUSC,ENST00000467555.1,0.04249885271705476,0.11191904597774777,498
LUSC,ENST00000394857.7,0.06491991282411844,0.08746427457038632,498
LUSC,ENST00000416245.5,0.006611207655050742,0.009456508979052303,498
LUSC,ENST00000479793.5,0.006123270606077715,0.019335132308432833,498
THCA,ENST00000336517.8,0.18402004992628668,0.28852809250876105,504
THCA,ENST00000466960.5,0.6940931352166901,0.5796343535184199,504
THCA,ENST00000394860.3,0.011789605476181436,0.03355791211629,504
THCA,ENST00000467555.1,0.0003132810122072943,0.03124268412683541,504
THCA,ENST00000394857.7,0.00045516008619238225,0.030351065204573396,504
THCA,ENST00000416245.5,0.0006770658249638982,0.004254977531177655,504
THCA,ENST00000479793.5,0.0004897797873531345,0.032430914993942635,504
READ,ENST00000336517.8,0.7582849306903724,0.710009229693435,92
READ,ENST00000466960.5,0.09899017476384972,0.15322045797171005,92
READ,ENST00000394860.3,0.02603454986373946,0.03388384279988854,92
READ,ENST00000467555.1,7.414488553470047e-05,0.009214270777624807,92
READ,ENST00000394857.7,0.04493668907708783,0.05839723584368503,92
READ,ENST00000416245.5,0.007400472493658069,0.008729913325535393,92
READ,ENST00000479793.5,0.014241956876772299,0.026545049588121216,92
PAAD,ENST00000336517.8,0.30574867064398237,0.36082356002112825,178
PAAD,ENST00000466960.5,0.48418990060660305,0.4592732518385526,178
PAAD,ENST00000394860.3,0.01773562878891076,0.03795480388716174,178
PAAD,ENST00000467555.1,0.00016943254845692897,0.03326173989852793,178
PAAD,ENST00000394857.7,0.026414951680973832,0.06973722086483979,178
PAAD,ENST00000416245.5,0.0030543889395732923,0.007502287318544278,178
PAAD,ENST00000479793.5,0.0004401492132649382,0.03144713617124545,178
PCPG,ENST00000336517.8,0.194904578886964,0.2800859532191893,177
PCPG,ENST00000466960.5,0.6099479982279494,0.5696786652658921,177
PCPG,ENST00000394860.3,0.018023346807626957,0.03609866400184747,177
PCPG,ENST00000467555.1,0.00020295851098166244,0.010401707755412437,177
PCPG,ENST00000394857.7,0.008546797695781084,0.04444165892861478,177
PCPG,ENST00000416245.5,0.0009284690924491571,0.004824623144468642,177
PCPG,ENST00000479793.5,0.0005691346720249,0.05446872768457531,177
UCEC,ENST00000336517.8,0.2912535390009131,0.34970220982710876,180
UCEC,ENST00000466960.5,0.47941250688817333,0.4701642453603583,180
UCEC,ENST00000394860.3,0.028098121616495705,0.03820136308887318,180
