,ENST00000336517.8,ENST00000466960.5,ENST00000394860.3,ENST00000467555.1,ENST00000394857.7,ENST00000416245.5,ENST00000479793.5
TCGA-R6-A8WC-01,0.8787887750660289,6.748789808566787e-05,0.012889930964264438,6.748789808566787e-05,0.09185412661568028,0.01626470365976937,6.748789808566787e-05
GTEX-1339X-0326-SM-5K7Z8,0.0010449028795898195,0.7220569675874864,0.0010449028795898195,0.0010449028795898195,0.2727185180145646,0.0010449028795898195,0.0010449028795898195
TCGA-LN-A4MQ-01,0.40968828239606814,0.00026758753546746487,0.05378689565962989,0.00026758753546746487,0.46855767163172435,0.008295234814070542,0.05913674042757203
TCGA-SP-A6QC-01,0.07877701699632987,0.6489227267651051,0.09206002206123491,0.00010217420216886324,0.15949892421917586,0.004189281655056085,0.01644985410092927
TCGA-K7-AAU7-01,0.268127328362387,0.3439546287440436,0.10892372837932912,0.00025271346847479715,0.06848776902809567,0.022997011067960278,0.1872568209497094
GTEX-Q2AG-0011-R7A-SM-2HMJP,0.09982962572340187,0.47074309153522303,0.00024894451126159515,0.00024894451126159515,0.16455158495260105,0.03759049771364043,0.22678731105261032
TCGA-CJ-6028-01,0.32220679982993927,0.48553891884368167,0.059740737000847206,9.176851871260306e-05,0.12948517593252573,0.0028448313555809322,9.176851871260306e-05
GTEX-11ONC-2826-SM-5P9GQ,0.6505307184283917,0.0011806434756253903,0.0011806434756253903,0.0011806434756253903,0.30814666632224896,0.036600041346857765,0.0011806434756253903
TCGA-24-2297-01,0.8146557745574324,0.016314091911978867,0.004541115654141757,5.606121336880078e-05,0.14918376998706645,0.015193125462642794,5.606121336880078e-05
GTEX-N7MS-2526-SM-26GMR,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288
GTEX-1122O-1526-SM-5N9CL,0.7633580535572391,0.13315069074191593,0.000308922338482772,0.000308922338482772,0.07136358083504603,0.031200907850350505,0.000308922338482772
TCGA-CZ-5456-01,0.8249592077827694,0.06062659837493713,0.0566961542127295,0.03153274746463244,7.863301449279167e-05,0.003224060850037136,0.02288259830040155
GTEX-WH7G-0826-SM-4LVMR,0.7077135152485632,0.0005892785512467568,0.0005892785512467568,0.0005892785512467568,0.07130452165806425,0.024161224380065363,0.19505290305956685
TCGA-EL-A3D0-01,0.011226753950437754,0.7566429959162377,0.07697237987987693,0.00010114303981771594,0.15485444113399438,0.00010114303981771594,0.00010114303981771594
TCGA-EM-A22Q-01,0.0036655136208886044,0.539251833534837,0.012060479539058446,0.3095042406951876,0.005904092672377165,0.005904092672377165,0.12370974726527395
GTEX-1497J-1226-SM-5Q5BL,0.10594352259386546,0.6485848764541837,0.235135991377529,0.002583902393605526,0.002583902393605526,0.002583902393605526,0.002583902393605526
TCGA-49-6744-01,0.22079772246663762,0.561982533029967,0.05059354695959197,7.771740179289107e-05,0.13064258935879858,0.011735289119653864,0.024170601663558028
TCGA-L5-A4ON-01,0.5119882793490923,0.00011686112382293536,0.00011686112382293536,0.00011686112382293536,0.44769331744590946,0.019983909916764738,0.019983909916764738
GTEX-1477Z-1526-SM-5SI9V,0.4358942007286765,0.3311254753703827,0.0002757120447793355,0.0002757120447793355,0.0912614834341379,0.03060370039785478,0.11056371597938926
TCGA-IB-7891-01,0.3319110766102965,0.4066243965273823,0.0010672165657888831,0.0010672165657888831,0.13980314115606782,0.0010672165657888831,0.1184597360088868
TCGA-ZN-A9VU-01,0.8131518538482013,0.13517466647282222,0.000137793619066784,0.000137793619066784,0.000137793619066784,0.000137793619066784,0.05112230520270943
TCGA-Q3-A5QY-01,0.13572593805095085,0.8572383868633914,0.00012792344881941105,0.00012792344881941105,0.00012792344881941105,0.006523981290380318,0.00012792344881941105
GTEX-WYBS-1026-SM-4ONCY,0.12250190598427833,0.8490821809198134,8.743534382734838e-05,0.02806617172059901,8.743534382734838e-05,8.743534382734838e-05,8.743534382734838e-05
GTEX-ZPCL-1426-SM-57WEC,0.8092501429874308,0.0003147638806092701,0.0003147638806092701,0.0003147638806092701,0.07585865593873074,0.02234905468974124,0.09159785474226921
GTEX-11NV4-1326-SM-5HL6V,0.42127862582716885,0.07645987361453654,0.0014992395431130392,0.0014992395431130392,0.04647654469755605,0.10644990930089956,0.34633656747361286
TCGA-AJ-A3BI-01,0.028862637835415705,0.33700618352831724,0.04749590582689864,0.5417679552370429,0.013565132671267612,0.0006327165563499677,0.030669468344707868
TCGA-CV-7424-11,0.9974215179221557,0.00042974701297396263,0.00042974701297396263,0.00042974701297396263,0.00042974701297396263,0.00042974701297396263,0.00042974701297396263
TCGA-BH-A204-11,0.6809028383912645,0.23627204551103137,0.0008718217715667369,0.0008718217715667369,0.0008718217715667369,0.018308036103653457,0.06190161467935042
TCGA-E3-A3E2-01,0.03828882562548307,0.9339176327117116,0.01649836902387141,4.4469238378125396e-05,4.4469238378125396e-05,0.0013785499152828772,0.009827684246894865
GTEX-132QS-0326-SM-5IJFN,0.3443467994675014,0.5095282963972201,0.001270607515568643,0.001270607515568643,0.001270607515568643,0.052096641253443786,0.09021644033512889
TCGA-FB-A545-01,0.41536299340937544,0.35420208036129563,4.1038700976685466e-05,4.1038700976685466e-05,0.18102295910141622,0.034514456839286806,0.014815432886672308
TCGA-44-2657-11,0.019879318211318518,0.8445835708873075,0.04780853767634408,0.00016428769961482787,0.052735273713531414,0.00016428769961482787,0.03466472411226881
TCGA-G4-6320-01,0.8515826794007553,0.12613307268329477,3.623437440892554e-05,3.623437440892554e-05,3.623437440892554e-05,0.00981986231431714,0.012355682478405808
GTEX-X585-0008-SM-46MU4,0.7882098827940595,0.0005216434789656741,0.0005216434789656741,0.0005216434789656741,0.17266549871716005,0.03703804457291784,0.0005216434789656741
TCGA-EB-A41A-01,0.02242123649594465,0.9564819529362368,0.010837754277986354,8.273226771424633e-05,0.010010859486689512,8.273226771424633e-05,8.273226771424633e-05
TCGA-55-6982-01,0.7269681663676169,0.2696694683270748,0.0006724730610616796,0.0006724730610616796,0.0006724730610616796,0.0006724730610616796,0.0006724730610616796
